"","reviewid","label"
"897",21869,"club ac30"
"898",21918,"prestige"
"899",21677,"run for cover"
"900",21818,"roadrunner"
"901",21784,"sub pop"
"902",21862,"daps"
"903",21901,"pax-am"
"904",21858,"boy better know"
"905",21900,"virgin"
"906",21877,"stolen recordings"
"907",21899,"xl"
"908",21785,"warp"
"909",21724,"grand jury"
"910",21908,"big crown"
"911",21879,"harvest"
"912",21876,"columbia"
"913",21820,"editions mego"
"914",21859,"fat possum"
"915",21907,"xl"
"916",21888,"mute"
"917",21678,"decca"
"918",21678,"blue note"
"919",21878,"lambent light"
"920",21906,"universal"
"921",21861,"merge"
"922",21863,"stones throw"
"923",21852,"totally gross national product"
"924",21782,"dead oceans"
"925",21783,"asthmatic kitty"
"926",21855,"fool's gold"
"927",21720,"captured tracks"
"928",21817,"ecm"
"929",21701,"bureau b"
"930",21854,"parlophone"
"931",21856,"double feature"
"932",21905,"good cheer"
"933",21849,"domino"
"934",21860,"cherry red"
"935",21645,"earache"
"936",21857,"masters of bates"
"937",21819,"secretly canadian"
"938",21819,"rough trade"
"939",21794,"run for cover"
"940",21810,"greensleeves"
"941",21815,"lame-o"
"942",21687,"rhymesayers"
"943",21804,"stones throw"
"944",21853,"ato"
"945",21851,"last gang"
"946",21848,"rinse"
"947",21848,"virgin emi"
"948",21653,"cherry red"
"949",21813,"dfa"
"950",21903,"joyful noise"
"951",21816,"4ad"
"952",21836,"cash money"
"953",21836,"young money entertainment"
"954",21835,"pampa"
"955",21850,"self-released"
"956",21801,"cantaloupe"
"957",21845,"paisley park"
"958",21842,"warner bros."
"959",21844,"paisley park"
"960",21846,"warner bros."
"961",21846,"paisley park"
"962",21841,"warner bros."
"963",21866,"warner bros."
"964",21843,"warner bros."
"965",21847,"warner bros."
"966",21847,"paisley park"
"967",21715,"pinkflag"
"968",21839,"self-released"
"969",21637,"profound lore"
"970",21781,"northern spy"
"971",21743,"warp"
"972",21806,"new amsterdam"
"973",21834,"susannasonata"
"974",21825,"interscope"
"975",21825,"hs87"
"976",21867,"columbia"
"977",21867,"parkwood"
"978",21826,"rca"
"979",21838,"sub pop"
"980",21837,"anticon"
"981",21833,"modern love"
"982",21797,"jackpot records"
"983",21762,"century media"
"984",21717,"sub pop"
"985",21814,"easy sound"
"986",21694,"sacred bones"
